,m,delta_p,p_hat,p_min,pi,k,l,search_bound,n,i
0,2,0.5,0.725,0.9,0.3,3,1000,695.0,17.0,29.0
1,2,0.5,0.6,0.9,0.3,3,1000,988.0,101.0,24.0
2,2,0.5,0.75,0.9,0.3,3,1000,636.0,43.0,30.0
3,2,0.5,1.0,0.9,0.3,3,1000,49.0,7.0,40.0
4,2,0.5,0.025,0.9,0.3,3,1000,2338.0,346.0,1.0
5,2,0.5,0.525,0.9,0.3,3,1000,1164.0,160.0,21.0
6,2,0.5,0.125,0.9,0.3,3,1000,2103.0,289.0,5.0
7,2,0.5,0.45,0.9,0.3,3,1000,1340.0,184.0,18.0
8,2,0.5,0.425,0.9,0.3,3,1000,1399.0,192.0,17.0
9,2,0.5,0.975,0.9,0.3,3,1000,108.0,7.0,39.0
10,2,0.5,0.275,0.9,0.3,3,1000,1751.0,232.0,11.0
11,2,0.5,0.65,0.9,0.3,3,1000,871.0,119.0,26.0
12,2,0.5,0.4,0.9,0.3,3,1000,1458.0,200.0,16.0
13,2,0.5,0.25,0.9,0.3,3,1000,1810.0,249.0,10.0
14,2,0.5,0.325,0.9,0.3,3,1000,1634.0,252.0,13.0
15,2,0.5,0.925,0.9,0.3,3,1000,225.0,7.0,37.0
16,2,0.5,0.35,0.9,0.3,3,1000,1575.0,229.0,14.0
17,2,0.5,0.9,0.9,0.3,3,1000,284.0,19.0,36.0
18,2,0.5,0.15,0.9,0.3,3,1000,2044.0,281.0,6.0
19,2,0.5,0.225,0.9,0.3,3,1000,1868.0,236.0,9.0
20,2,0.5,0.575,0.9,0.3,3,1000,1047.0,74.0,23.0
21,2,0.5,0.7,0.9,0.3,3,1000,753.0,64.0,28.0
22,2,0.5,0.625,0.9,0.3,3,1000,929.0,127.0,25.0
23,2,0.5,0.3,0.9,0.3,3,1000,1692.0,246.0,12.0
24,2,0.5,0.0,0.9,0.3,3,1000,2397.0,346.0,0.0
25,2,0.5,0.1,0.9,0.3,3,1000,2162.0,297.0,4.0
26,2,0.5,0.95,0.9,0.3,3,1000,166.0,7.0,38.0
27,2,0.5,0.675,0.9,0.3,3,1000,812.0,111.0,27.0
28,2,0.5,0.55,0.9,0.3,3,1000,1105.0,228.0,22.0
29,2,0.5,0.5,0.9,0.3,3,1000,1223.0,73.0,20.0
30,2,0.5,0.8,0.9,0.3,3,1000,518.0,71.0,32.0
31,2,0.5,0.825,0.9,0.3,3,1000,460.0,15.0,33.0
32,2,0.5,0.775,0.9,0.3,3,1000,577.0,29.0,31.0
33,2,0.5,0.2,0.9,0.3,3,1000,1927.0,265.0,8.0
34,2,0.5,0.175,0.9,0.3,3,1000,1986.0,273.0,7.0
35,2,0.5,0.375,0.9,0.3,3,1000,1516.0,227.0,15.0
36,2,0.5,0.475,0.9,0.3,3,1000,1281.0,176.0,19.0
37,2,0.5,0.075,0.9,0.3,3,1000,2221.0,345.0,3.0
38,2,0.5,0.875,0.9,0.3,3,1000,342.0,23.0,35.0
39,2,0.5,0.05,0.9,0.3,3,1000,2279.0,347.0,2.0
40,2,0.5,0.85,0.9,0.3,3,1000,401.0,27.0,34.0
